,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,5135BL0003U2,B0051AABAAIDU01,00:00:00,00:00:00,1,0.0,2022-04-16,Vila Militar,-22.862170000000003,-43.40062,POINT (-43.40062 -22.86217)
1,1,5138BL0001U2,B0051AABAAIDU01,00:03:00,00:03:00,2,1442.0,2022-04-16,São José de Magalhães Bastos,-22.86809,-43.413140000000006,POINT (-43.41314000000001 -22.86809)
2,2,5135BL0002U2,B0051AABAAIDU01,00:05:28,00:05:28,3,2628.0,2022-04-16,Padre João Chribbin,-22.875970000000002,-43.40531,POINT (-43.40531 -22.87597)
3,3,5137BL0001U2,B0051AABAAIDU01,00:08:10,00:08:10,4,3924.0,2022-04-16,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
4,4,4122BL0001U1,B0051AABAAIDU01,00:14:49,00:14:49,5,7116.0,2022-04-16,Boiuna,-22.915660205370212,-43.39814933747469,POINT (-43.39814933747469 -22.91566020537021)
5,5,4115BL0006U2,B0051AABAAIDU01,00:17:43,00:17:43,6,8504.0,2022-04-16,Outeiro Santo,-22.92804,-43.395990000000005,POINT (-43.39599 -22.92804)
6,6,4115BL0005U2,B0051AABAAIDU01,00:20:44,00:20:44,7,9954.0,2022-04-16,Colônia,-22.94108,-43.39467,POINT (-43.39467 -22.94108)
7,7,4115BL0004U2,B0051AABAAIDU01,00:22:24,00:22:24,8,10753.0,2022-04-16,Ventura,-22.94782,-43.391870000000004,POINT (-43.39187 -22.94782)
8,8,4119BL0001U2,B0051AABAAIDU01,00:23:36,00:23:36,9,11332.0,2022-04-16,Leila Diniz,-22.95291,-43.39054,POINT (-43.39054 -22.95291)
9,9,4115BL0003U2,B0051AABAAIDU01,00:26:04,00:26:04,10,12513.0,2022-04-16,Asa Branca,-22.96315,-43.39376,POINT (-43.39376 -22.96315)
10,10,4115BL0002U2,B0051AABAAIDU01,00:27:08,00:27:08,11,13028.0,2022-04-16,Minha Praia,-22.96669,-43.39703,POINT (-43.39703 -22.96669)
11,11,4115BL0001U2,B0051AABAAIDU01,00:28:34,00:28:34,12,13719.0,2022-04-16,Morro do Outeiro,-22.97144,-43.4014,POINT (-43.4014 -22.97144)
12,12,4115BC0006P2,B0051AABAAIDU01,00:28:44,00:28:44,13,13797.0,2022-04-16,Terminal Centro Olímpico :: Plataforma B (BRT),-22.97206,-43.40103,POINT (-43.40103 -22.97206)
13,13,4128BC0005U2,B0051AABAAIDU01,00:30:22,00:30:22,14,14576.0,2022-04-16,Parque Olímpico,-22.97316,-43.39352,POINT (-43.39352 -22.97316)
14,14,4128BC0004U2,B0051AABAAIDU01,00:32:34,00:32:34,15,15632.0,2022-04-16,Rio 2,-22.97327,-43.38322,POINT (-43.38322 -22.97327)
15,15,4115BC0002U2,B0051AABAAIDU01,00:33:58,00:33:58,16,16304.0,2022-04-16,Rede Sarah,-22.97336,-43.37666,POINT (-43.37666 -22.97336)
16,16,4115BC0001U2,B0051AABAAIDU01,00:36:19,00:36:19,17,17437.0,2022-04-16,Centro Metropolitano,-22.97341,-43.36561,POINT (-43.36561 -22.97341)
17,17,4128BC0003U2,B0051AABAAIDU01,00:38:45,00:38:45,18,18605.0,2022-04-16,Via Parque,-22.98396,-43.365759999999995,POINT (-43.36575999999999 -22.98396)
18,18,4128BC0002U2,B0051AABAAIDU01,00:39:55,00:39:55,19,19166.0,2022-04-16,Aeroporto de Jacarepaguá,-22.98903,-43.365840000000006,POINT (-43.36584000000001 -22.98903)
19,19,4128BC0001U2,B0051AABAAIDU01,00:41:13,00:41:13,20,19784.0,2022-04-16,Lourenço Jorge,-22.99461,-43.36593,POINT (-43.36593 -22.99461)
20,20,4128BO0226P2,B0051AABAAIDU01,00:42:46,00:42:46,21,20534.0,2022-04-16,Terminal Alvorada :: Plataforma B (Desembarque),-23.001296303606267,-43.367123534465726,POINT (-43.36712353446573 -23.00129630360627)
21,21,5135BL0003U2,B0051AABAAIDU01,00:00:00,00:00:00,1,0.0,2022-04-17,Vila Militar,-22.862170000000003,-43.40062,POINT (-43.40062 -22.86217)
22,22,5138BL0001U2,B0051AABAAIDU01,00:03:00,00:03:00,2,1442.0,2022-04-17,São José de Magalhães Bastos,-22.86809,-43.413140000000006,POINT (-43.41314000000001 -22.86809)
23,23,5135BL0002U2,B0051AABAAIDU01,00:05:28,00:05:28,3,2628.0,2022-04-17,Padre João Chribbin,-22.875970000000002,-43.40531,POINT (-43.40531 -22.87597)
24,24,5137BL0001U2,B0051AABAAIDU01,00:08:10,00:08:10,4,3924.0,2022-04-17,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
25,25,4122BL0001U1,B0051AABAAIDU01,00:14:49,00:14:49,5,7116.0,2022-04-17,Boiuna,-22.915660205370212,-43.39814933747469,POINT (-43.39814933747469 -22.91566020537021)
26,26,4115BL0006U2,B0051AABAAIDU01,00:17:43,00:17:43,6,8504.0,2022-04-17,Outeiro Santo,-22.92804,-43.395990000000005,POINT (-43.39599 -22.92804)
27,27,4115BL0005U2,B0051AABAAIDU01,00:20:44,00:20:44,7,9954.0,2022-04-17,Colônia,-22.94108,-43.39467,POINT (-43.39467 -22.94108)
