,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,5135BL0003U2,B0051AAB0AIDU01,,,1,,2022-03-16,Vila Militar,-22.862170000000003,-43.40062,POINT (-43.40062 -22.86217)
1,1,5138BL0001U2,B0051AAB0AIDU01,,,2,,2022-03-16,São José de Magalhães Bastos,-22.86809,-43.413140000000006,POINT (-43.41314000000001 -22.86809)
2,2,5135BL0002U2,B0051AAB0AIDU01,,,3,,2022-03-16,Padre João Chribbin,-22.875970000000002,-43.40531,POINT (-43.40531 -22.87597)
3,3,5137BL0001U2,B0051AAB0AIDU01,,,4,,2022-03-16,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
4,4,4122BL0001U1,B0051AAB0AIDU01,00:00:00,00:00:00,5,0.0,2022-03-16,Boiuna,-22.915660205370212,-43.39814933747469,POINT (-43.39814933747469 -22.91566020537021)
5,5,4115BL0006U2,B0051AAB0AIDU01,,,6,,2022-03-16,Outeiro Santo,-22.92804,-43.395990000000005,POINT (-43.39599 -22.92804)
6,6,4115BL0005U2,B0051AAB0AIDU01,,,7,,2022-03-16,Colônia,-22.94108,-43.39467,POINT (-43.39467 -22.94108)
7,7,4115BL0004U2,B0051AAB0AIDU01,,,8,,2022-03-16,Ventura,-22.94782,-43.391870000000004,POINT (-43.39187 -22.94782)
8,8,4119BL0001U2,B0051AAB0AIDU01,,,9,,2022-03-16,Leila Diniz,-22.95291,-43.39054,POINT (-43.39054 -22.95291)
9,9,4115BL0003U2,B0051AAB0AIDU01,,,10,,2022-03-16,Asa Branca,-22.96315,-43.39376,POINT (-43.39376 -22.96315)
10,10,4115BL0002U2,B0051AAB0AIDU01,,,11,,2022-03-16,Minha Praia,-22.96669,-43.39703,POINT (-43.39703 -22.96669)
11,11,4115BL0001U2,B0051AAB0AIDU01,,,12,,2022-03-16,Morro do Outeiro,-22.97144,-43.4014,POINT (-43.4014 -22.97144)
12,12,4128BL0003U2,B0051AAB0AIDU01,,,13,,2022-03-16,Riocentro,-22.97692,-43.40647,POINT (-43.40647 -22.97692)
13,13,4128BL0002U2,B0051AAB0AIDU01,,,14,,2022-03-16,Olof Palme,-22.98177,-43.41026,POINT (-43.41026 -22.98177)
14,14,4128BL0001U2,B0051AAB0AIDU01,,,15,,2022-03-16,Ilha Pura,-22.98951,-43.41767,POINT (-43.41767 -22.98951)
15,15,4132BL0003U2,B0051AAB0AIDU01,,,16,,2022-03-16,Tapebuias,-23.00011,-43.4298,POINT (-43.4298 -23.00011)
16,16,4132BL0002U2,B0051AAB0AIDU01,,,17,,2022-03-16,Catedral do Recreio,-23.0037,-43.43397,POINT (-43.43397 -23.0037)
17,17,4132BL0001P2,B0051AAB0AIDU01,,,18,,2022-03-16,Terminal Paralímpico (Recreio) :: Plataforma Norte,-23.00838950133272,-43.44042463558197,POINT (-43.44042463558197 -23.00838950133272)
18,18,5135BL0003U2,B0051AAB0AIDU01,,,1,,2022-03-17,Vila Militar,-22.862170000000003,-43.40062,POINT (-43.40062 -22.86217)
19,19,5138BL0001U2,B0051AAB0AIDU01,,,2,,2022-03-17,São José de Magalhães Bastos,-22.86809,-43.413140000000006,POINT (-43.41314000000001 -22.86809)
20,20,5135BL0002U2,B0051AAB0AIDU01,,,3,,2022-03-17,Padre João Chribbin,-22.875970000000002,-43.40531,POINT (-43.40531 -22.87597)
21,21,5137BL0001U2,B0051AAB0AIDU01,,,4,,2022-03-17,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
22,22,4122BL0001U1,B0051AAB0AIDU01,00:00:00,00:00:00,5,0.0,2022-03-17,Boiuna,-22.915660205370212,-43.39814933747469,POINT (-43.39814933747469 -22.91566020537021)
23,23,4115BL0006U2,B0051AAB0AIDU01,,,6,,2022-03-17,Outeiro Santo,-22.92804,-43.395990000000005,POINT (-43.39599 -22.92804)
24,24,4115BL0005U2,B0051AAB0AIDU01,,,7,,2022-03-17,Colônia,-22.94108,-43.39467,POINT (-43.39467 -22.94108)
25,25,4115BL0004U2,B0051AAB0AIDU01,,,8,,2022-03-17,Ventura,-22.94782,-43.391870000000004,POINT (-43.39187 -22.94782)
26,26,4119BL0001U2,B0051AAB0AIDU01,,,9,,2022-03-17,Leila Diniz,-22.95291,-43.39054,POINT (-43.39054 -22.95291)
27,27,4115BL0003U2,B0051AAB0AIDU01,,,10,,2022-03-17,Asa Branca,-22.96315,-43.39376,POINT (-43.39376 -22.96315)
28,28,4115BL0002U2,B0051AAB0AIDU01,,,11,,2022-03-17,Minha Praia,-22.96669,-43.39703,POINT (-43.39703 -22.96669)
29,29,4115BL0001U2,B0051AAB0AIDU01,,,12,,2022-03-17,Morro do Outeiro,-22.97144,-43.4014,POINT (-43.4014 -22.97144)
30,30,4128BL0003U2,B0051AAB0AIDU01,,,13,,2022-03-17,Riocentro,-22.97692,-43.40647,POINT (-43.40647 -22.97692)
31,31,4128BL0002U2,B0051AAB0AIDU01,,,14,,2022-03-17,Olof Palme,-22.98177,-43.41026,POINT (-43.41026 -22.98177)
