,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,5135BL0046P1,B0053AAFAAIDU01,00:00:00,00:00:00,1,0.0,2022-03-16,Terminal Sulacap :: Plataforma BRT,-22.884539999999998,-43.39993,POINT (-43.39993 -22.88454)
1,1,5137BL0001U2,B0053AAFAAIDU01,00:00:35,00:00:35,2,285.0,2022-03-16,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
2,2,4115BL0001U2,B0053AAFAAIDU01,00:20:05,00:20:05,3,9641.0,2022-03-16,Morro do Outeiro,-22.97144,-43.4014,POINT (-43.4014 -22.97144)
3,3,4128BC0004U2,B0053AAFAAIDU01,00:23:59,00:23:59,4,11516.0,2022-03-16,Rio 2,-22.97327,-43.38322,POINT (-43.38322 -22.97327)
4,4,4128BC0003U2,B0053AAFAAIDU01,00:28:27,00:28:27,5,13662.0,2022-03-16,Via Parque,-22.98396,-43.365759999999995,POINT (-43.36575999999999 -22.98396)
5,5,4128BO0226P2,B0053AAFAAIDU01,00:32:28,00:32:28,6,15586.0,2022-03-16,Terminal Alvorada :: Plataforma B (Desembarque),-23.001296303606267,-43.367123534465726,POINT (-43.36712353446573 -23.00129630360627)
6,6,5135BL0046P1,B0053AAFAAIDU01,00:00:00,00:00:00,1,0.0,2022-03-17,Terminal Sulacap :: Plataforma BRT,-22.884539999999998,-43.39993,POINT (-43.39993 -22.88454)
7,7,5137BL0001U2,B0053AAFAAIDU01,00:00:35,00:00:35,2,285.0,2022-03-17,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
8,8,4115BL0001U2,B0053AAFAAIDU01,00:20:05,00:20:05,3,9641.0,2022-03-17,Morro do Outeiro,-22.97144,-43.4014,POINT (-43.4014 -22.97144)
9,9,4128BC0004U2,B0053AAFAAIDU01,00:23:59,00:23:59,4,11516.0,2022-03-17,Rio 2,-22.97327,-43.38322,POINT (-43.38322 -22.97327)
10,10,4128BC0003U2,B0053AAFAAIDU01,00:28:27,00:28:27,5,13662.0,2022-03-17,Via Parque,-22.98396,-43.365759999999995,POINT (-43.36575999999999 -22.98396)
11,11,4128BO0226P2,B0053AAFAAIDU01,00:32:28,00:32:28,6,15586.0,2022-03-17,Terminal Alvorada :: Plataforma B (Desembarque),-23.001296303606267,-43.367123534465726,POINT (-43.36712353446573 -23.00129630360627)
12,12,5135BL0046P1,B0053AAFAAIDU01,00:00:00,00:00:00,1,0.0,2022-03-18,Terminal Sulacap :: Plataforma BRT,-22.884539999999998,-43.39993,POINT (-43.39993 -22.88454)
13,13,5137BL0001U2,B0053AAFAAIDU01,00:00:35,00:00:35,2,285.0,2022-03-18,Marechal Fontenelle,-22.88695,-43.400929999999995,POINT (-43.40093 -22.88695)
14,14,4115BL0001U2,B0053AAFAAIDU01,00:20:05,00:20:05,3,9641.0,2022-03-18,Morro do Outeiro,-22.97144,-43.4014,POINT (-43.4014 -22.97144)
15,15,4128BC0004U2,B0053AAFAAIDU01,00:23:59,00:23:59,4,11516.0,2022-03-18,Rio 2,-22.97327,-43.38322,POINT (-43.38322 -22.97327)
16,16,4128BC0003U2,B0053AAFAAIDU01,00:28:27,00:28:27,5,13662.0,2022-03-18,Via Parque,-22.98396,-43.365759999999995,POINT (-43.36575999999999 -22.98396)
17,17,4128BO0226P2,B0053AAFAAIDU01,00:32:28,00:32:28,6,15586.0,2022-03-18,Terminal Alvorada :: Plataforma B (Desembarque),-23.001296303606267,-43.367123534465726,POINT (-43.36712353446573 -23.00129630360627)
18,18,5135BL0046P1,B0053AAFAAIDU01,00:00:00,00:00:00,1,0.0,2022-03-19,Terminal Sulacap :: Plataforma BRT,-22.884539999999998,-43.39993,POINT (-43.39993 -22.88454)
