,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,5135BL0046P1,B0053AABBAIDU01,00:00:00,00:00:00,1,0,2022-03-16,Terminal Sulacap :: Plataforma BRT,-22.884539999999998,-43.39993,POINT (-43.39993 -22.88454)
1,1,5137BL0001X2,B0053AABBAIDU01,00:00:00,00:00:00,2,196,2022-03-16,Marechal Fontenelle,-22.886129999999998,-43.40079,POINT (-43.40079 -22.88613)
2,2,4122BL0001U1,B0053AABBAIDU01,00:00:00,00:00:00,3,3477,2022-03-16,Boiuna,-22.915660205370212,-43.39814933747469,POINT (-43.39814933747469 -22.91566020537021)
3,3,4115BL0006U2,B0053AABBAIDU01,00:00:00,00:00:00,4,4865,2022-03-16,Outeiro Santo,-22.92804,-43.395990000000005,POINT (-43.39599 -22.92804)
4,4,4115BL0005U2,B0053AABBAIDU01,00:00:00,00:00:00,5,6315,2022-03-16,Colônia,-22.94108,-43.39467,POINT (-43.39467 -22.94108)
5,5,4115BL0004U2,B0053AABBAIDU01,00:00:00,00:00:00,6,7114,2022-03-16,Ventura,-22.94782,-43.391870000000004,POINT (-43.39187 -22.94782)
6,6,4119BL0001U2,B0053AABBAIDU01,00:00:00,00:00:00,7,7693,2022-03-16,Leila Diniz,-22.95291,-43.39054,POINT (-43.39054 -22.95291)
7,7,4115BL0003U2,B0053AABBAIDU01,00:00:00,00:00:00,8,8874,2022-03-16,Asa Branca,-22.96315,-43.39376,POINT (-43.39376 -22.96315)
8,8,4115BL0002U2,B0053AABBAIDU01,00:00:00,00:00:00,9,9389,2022-03-16,Minha Praia,-22.96669,-43.39703,POINT (-43.39703 -22.96669)
9,9,4115BL0001X2,B0053AABBAIDU01,00:00:00,00:00:00,10,9922,2022-03-16,Morro do Outeiro,-22.97036,-43.4004,POINT (-43.4004 -22.97036)
10,10,4128BC0005U1,B0053AABBAIDU01,00:00:00,00:00:00,11,10699,2022-03-16,Parque Olímpico,-22.97328,-43.3935,POINT (-43.3935 -22.97328)
11,11,4128BC0004U2,B0053AABBAIDU01,00:00:00,00:00:00,12,11753,2022-03-16,Rio 2,-22.97327,-43.38322,POINT (-43.38322 -22.97327)
12,12,4115BC0002U2,B0053AABBAIDU01,00:00:00,00:00:00,13,12425,2022-03-16,Rede Sarah,-22.97336,-43.37666,POINT (-43.37666 -22.97336)
13,13,4115BC0001U2,B0053AABBAIDU01,00:00:00,00:00:00,14,13558,2022-03-16,Centro Metropolitano,-22.97341,-43.36561,POINT (-43.36561 -22.97341)
