trip_id,arrival_time,departure_time,stop_id,shape_dist_traveled,stop_sequence,pickup_type,drop_off_type,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,stop_timezone,wheelchair_boarding,route_id,route_short_name,route_long_name
B0010AAF0AIDU01,00:00:00,00:00:00,5149BO0001U1,0,1,,,Santa Cruz,-22.9166848926352,-43.6837053349877,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:03:02,00:03:02,5149BO0002U1,1096,2,,,General Olímpio,-22.92227,-43.67969,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:04:50,00:04:50,5149BO0003U1,1740,3,,,Gastão Rangel,-22.92753,-43.67767,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:06:24,00:06:24,5149BO0004U1,2308,4,,,Cajueiros,-22.93089,-43.67349,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:09:00,00:09:00,5149BO0005U1,3241,5,,,Curral Falso,-22.93648,-43.66698,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:10:25,00:10:25,5149BO0006U1,3751,6,,,Santa Veridiana,-22.94054,-43.66518,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:15:47,00:15:47,5149BO0007U1,5683,7,,,Vendas de Varanda,-22.95094,-43.65081,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:20:26,00:20:26,5151BO0001U1,7360,8,,,Pingo dÁgua,-22.9649,-43.64728,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:28:00,00:28:00,5151BO0002U1,10080,9,,,Magarça,-22.96869,-43.622,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,00:39:19,00:39:19,5151BO0003X1,14156,10,,,Mato Alto,-22.99407,-43.59653,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,01:12:03,01:12:03,4132BO0005X1,25941,11,,,Recreio Shopping,-23.01979,-43.48766,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,01:20:26,01:20:26,4132BO0010X1,28959,12,,,Gláucio Gil,-23.01254,-43.45928,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,01:25:13,01:25:13,4132BO0013X1,30681,13,,,Salvador Allende,-23.008397410531,-43.4431056339437,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AIDU01,01:48:28,01:48:28,4128B00225P0,39053,14,,,Terminal Alvorada :: Plataforma A (Desembarque),-23.0010774069003,-43.3648087880859,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,00:00:00,00:00:00,4128BO0010P1,0,1,,,Terminal Alvorada :: Plataforma A (Embarque),-23.0011169103619,-43.3663858012581,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,00:23:26,00:23:26,4132BO0013X2,8437,2,,,Salvador Allende,-23.00833,-43.44313,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,00:28:13,00:28:13,4132BO0010X2,10159,3,,,Gláucio Gil,-23.01245,-43.45931,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,00:36:36,00:36:36,4132BO0005X2,13181,4,,,Recreio Shopping,-23.01969,-43.48772,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:09:33,01:09:33,5151BO0003U2,25038,5,,,Mato Alto,-22.9935,-43.59706,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:20:40,01:20:40,5151BO0002U2,29042,6,,,Magarça,-22.96859,-43.62204,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:28:12,01:28:12,5151BO0001U2,31754,7,,,Pingo DÁgua,-22.96483,-43.6472,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:32:51,01:32:51,5149BO0007U2,33427,8,,,Vendas de Varanda,-22.95088,-43.65075,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:38:12,01:38:12,5149BO0006U2,35357,9,,,Santa Veridiana,-22.94048,-43.66514,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:39:35,01:39:35,5149BO0005U2,35855,10,,,Curral Falso,-22.93648,-43.66691,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:42:33,01:42:33,5149BO0004U2,36920,11,,,Cajueiros,-22.93083,-43.67346,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:44:07,01:44:07,5149BO0003U2,37483,12,,,Gastão Rangel,-22.92748,-43.67758,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:45:54,01:45:54,5149BO0002U2,38127,13,,,General Olímpio,-22.92224,-43.67961,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0010AAF0AVDU01,01:47:43,01:47:43,5149BO0001U2,38783,14,,,Santa Cruz,-22.91754,-43.6834,,,,,,,B0010AAF0A,10,Santa Cruz - Terminal Alvorada
B0011AAB0AIDU01,00:00:00,00:00:00,5149BO0001U1,0,1,,,Santa Cruz,-22.9166848926352,-43.6837053349877,,,,,,,B0011AAB0A,11,Santa Cruz - Terminal Alvorada
B0011AAB0AIDU01,00:03:02,00:03:02,5149BO0002U1,1096,2,,,General Olímpio,-22.92227,-43.67969,,,,,,,B0011AAB0A,11,Santa Cruz - Terminal Alvorada
B0011AAB0AIDU01,00:04:50,00:04:50,5149BO0003U1,1740,3,,,Gastão Rangel,-22.92753,-43.67767,,,,,,,B0011AAB0A,11,Santa Cruz - Terminal Alvorada
B0011AAB0AIDU01,00:06:24,00:06:24,5149BO0004U1,2308,4,,,Cajueiros,-22.93089,-43.67349,,,,,,,B0011AAB0A,11,Santa Cruz - Terminal Alvorada
B0011AAB0AIDU01,00:09:00,00:09:00,5149BO0005U1,3241,5,,,Curral Falso,-22.93648,-43.66698,,,,,,,B0011AAB0A,11,Santa Cruz - Terminal Alvorada
