agency_id,route_short_name,route_type,route_color,route_text_color,route_id,route_long_name,route_desc,route_url
20001,10,3,,,B0010AAF0A,Santa Cruz - Terminal Alvorada,,
20001,11,3,,,B0011AAB0A,Santa Cruz - Terminal Alvorada,,
20001,12,3,,,B0012AAF0A,Pingo d'Água - Terminal Alvorada,,
20001,13,3,,,B0013AAF0A,Mato Alto - Terminal Alvorada,,
20001,18,3,,,B0018AAF0A,Recreio Shopping - Jardim Oceânico,,
20001,19,3,,,B0019AAF0A,Pingo d'Água - Salvador Allende,,
20001,20,3,,,B0020AAF0A,Santa Cruz - Salvador Allende,,
20001,22,3,,,B0022AAB0A,Terminal Alvorada - Jardim Oceânico,,
20001,A25,3,,,B0025AABAA,Mato Alto - Terminal Alvorada,,
20001,50,3,,,B0050AAB0A,Jardim Oceânico - Terminal Centro Olímpico,,
20001,51,3,,,B0051AAB0A,Vila Militar - Terminal Recreio,,
20001,A51,3,,,B0051AABAA,Vila Militar - Terminal Alvorada,,
20001,A53,3,,,B0053AAFAA,Terminal Sulacap - Terminal Alvorada,,
20001,38,3,,,B0038AAB0A,Galeão - Terminal Alvorada,,
20001,31,3,,,B0031AAG0A,Vicente de Carvalho - Terminal Alvorada,,
20001,41,3,,,B0041AAF0A,Terminal Madureira - Terminal Recreio,,
20001,46,3,,,B0046AAF0A,Penha - Terminal Alvorada,,
20001,A35,3,,,B0035AABAA,Terminal Madureira - Jardim Oceânico,,
20001,A42,3,,,B0042AABAA,Galeão - Madureira Manaceia,,
20001,15,3,,,B0015AAB0A,Pingo d'Água - Recreio Shopping,,
20001,B53,3,,,B0053AABBA,Sulacap - Jardim Oceânico,,
20001,14,3,,,B0014AAF0A,Santa Eugênia (Paciência) - Salvador Allende,,
20001,17,3,,,B0017AAB0A,Santa Cruz - Campo Grande,,
20001,40,3,,,B0040AAF0A,Madureira - Terminal Alvorada,,
