trip_id,arrival_time,departure_time,stop_id,shape_dist_traveled,stop_sequence,stop_headsign,timepoint,pickup_type,drop_off_type
B0010AAF0AIDU01,00:00:00,00:00:00,5149BO0001U1,0,1,,0,,
B0010AAF0AIDU01,00:03:02,00:03:02,5149BO0002U1,1096,2,,0,,
B0010AAF0AIDU01,00:04:50,00:04:50,5149BO0003U1,1740,3,,0,,
B0010AAF0AIDU01,00:06:24,00:06:24,5149BO0004U1,2308,4,,0,,
B0010AAF0AIDU01,00:09:00,00:09:00,5149BO0005U1,3241,5,,0,,
B0010AAF0AIDU01,00:10:25,00:10:25,5149BO0006U1,3751,6,,0,,
B0010AAF0AIDU01,00:15:47,00:15:47,5149BO0007U1,5683,7,,0,,
B0010AAF0AIDU01,00:20:26,00:20:26,5151BO0001U1,7360,8,,0,,
B0010AAF0AIDU01,00:28:00,00:28:00,5151BO0002U1,10080,9,,0,,
B0010AAF0AIDU01,00:39:19,00:39:19,5151BO0003X1,14156,10,,0,,
B0010AAF0AIDU01,01:12:03,01:12:03,4132BO0005X1,25941,11,,0,,
B0010AAF0AIDU01,01:20:26,01:20:26,4132BO0010X1,28959,12,,0,,
B0010AAF0AIDU01,01:25:13,01:25:13,4132BO0013X1,30681,13,,0,,
B0010AAF0AIDU01,01:48:28,01:48:28,4128B00225P0,39053,14,,0,,
B0010AAF0AVDU01,00:00:00,00:00:00,4128BO0010P1,0,1,,0,,
B0010AAF0AVDU01,00:23:26,00:23:26,4132BO0013X2,8437,2,,0,,
B0010AAF0AVDU01,00:28:13,00:28:13,4132BO0010X2,10159,3,,0,,
B0010AAF0AVDU01,00:36:36,00:36:36,4132BO0005X2,13181,4,,0,,
B0010AAF0AVDU01,01:09:33,01:09:33,5151BO0003U2,25038,5,,0,,
B0010AAF0AVDU01,01:20:40,01:20:40,5151BO0002U2,29042,6,,0,,
B0010AAF0AVDU01,01:28:12,01:28:12,5151BO0001U2,31754,7,,0,,
B0010AAF0AVDU01,01:32:51,01:32:51,5149BO0007U2,33427,8,,0,,
B0010AAF0AVDU01,01:38:12,01:38:12,5149BO0006U2,35357,9,,0,,
B0010AAF0AVDU01,01:39:35,01:39:35,5149BO0005U2,35855,10,,0,,
B0010AAF0AVDU01,01:42:33,01:42:33,5149BO0004U2,36920,11,,0,,
B0010AAF0AVDU01,01:44:07,01:44:07,5149BO0003U2,37483,12,,0,,
B0010AAF0AVDU01,01:45:54,01:45:54,5149BO0002U2,38127,13,,0,,
B0010AAF0AVDU01,01:47:43,01:47:43,5149BO0001U2,38783,14,,0,,
B0011AAB0AIDU01,00:00:00,00:00:00,5149BO0001U1,0,1,,0,,
B0011AAB0AIDU01,00:03:02,00:03:02,5149BO0002U1,1096,2,,0,,
B0011AAB0AIDU01,00:04:50,00:04:50,5149BO0003U1,1740,3,,0,,
B0011AAB0AIDU01,00:06:24,00:06:24,5149BO0004U1,2308,4,,0,,
B0011AAB0AIDU01,00:09:00,00:09:00,5149BO0005U1,3241,5,,0,,
B0011AAB0AIDU01,00:10:25,00:10:25,5149BO0006U1,3751,6,,0,,
B0011AAB0AIDU01,00:15:47,00:15:47,5149BO0007U1,5683,7,,0,,
B0011AAB0AIDU01,00:20:26,00:20:26,5151BO0001U1,7360,8,,0,,
