route_id,trip_headsign,trip_short_name,direction_id,trip_id,service_id,shape_id,block_id,wheelchair_accessible
B0010AAF0A,Santa Cruz,10,1,B0010AAF0AVDU01,U,B0010AAF0AVDU01,,
B0010AAF0A,Terminal Alvorada,10,0,B0010AAF0AIDU01,U,B0010AAF0AIDU01,,
B0011AAB0A,Santa Cruz,11,1,B0011AAB0AVDU01,U,B0011AAB0AVDU01,,
B0011AAB0A,Terminal Alvorada,11,0,B0011AAB0AIDU01,U,B0011AAB0AIDU01,,
B0012AAF0A,Pingo dÁgua,12,1,B0012AAF0AVDU01,U,B0012AAF0AVDU01,,
B0012AAF0A,Terminal Alvorada,12,0,B0012AAF0AIDU01,U,B0012AAF0AIDU01,,
B0013AAF0A,Mato Alto,13,1,B0013AAF0AVDU01,U,B0013AAF0AVDU01,,
B0013AAF0A,Terminal Alvorada,13,0,B0013AAF0AIDU01,U,B0013AAF0AIDU01,,
B0018AAF0A,Recreio Shopping,18,1,B0018AAF0AVDU01,U,B0018AAF0AVDU01,,
B0018AAF0A,Jardim Oceânico,18,0,B0018AAF0AIDU01,U,B0018AAF0AIDU01,,
B0019AAF0A,Pingo dÁgua,19,1,B0019AAF0AVDU01,U,B0019AAF0AVDU01,,
B0019AAF0A,Salvador Allende,19,0,B0019AAF0AIDU01,U,B0019AAF0AIDU01,,
B0020AAF0A,Santa Cruz,20,1,B0020AAF0AVDU01,U,B0020AAF0AVDU01,,
B0020AAF0A,Salvador Allende,20,0,B0020AAF0AIDU01,U,B0020AAF0AIDU01,,
B0022AAB0A,Terminal Alvorada,22,1,B0022AAB0AVDU01,U,B0022AAB0AVDU01,,
B0022AAB0A,Jardim Oceânico,22,0,B0022AAB0AIDU01,U,B0022AAB0AIDU01,,
B0031AAG0A,Vicente de Carvalho,31,1,B0031AAG0AVDU01,U,B0031AAG0AVDU01,,
B0031AAG0A,Terminal Alvorada,31,0,B0031AAG0AIDU01,U,B0031AAG0AIDU01,,
B0038AAB0A,Terminal Alvorada,38,0,B0038AAB0AIDU01,U,B0038AAB0AIDU01,,
B0038AAB0A,Fundão,38,1,B0038AAB0AVDU01,U,B0038AAB0AVDU01,,
B0041AAF0A,Terminal Madureira,41,1,B0041AAF0AVDU01,U,B0041AAF0AVDU01,,
B0041AAF0A,Terminal Recreio,41,0,B0041AAF0AIDU01,U,B0041AAF0AIDU01,,
B0046AAF0A,Penha,46,1,B0046AAF0AVDU01,U,B0046AAF0AVDU01,,
B0046AAF0A,Terminal Alvorada,46,0,B0046AAF0AIDU01,U,B0046AAF0AIDU01,,
B0050AAB0A,Terminal Centro Olímpico,50,1,B0050AAB0AVDU01,U,B0050AAB0AVDU01,,
B0050AAB0A,Jardim Oceânico,50,0,B0050AAB0AIDU01,U,B0050AAB0AIDU01,,
B0051AAB0A,Vila Militar,51,1,B0051AAB0AVDU01,U,B0051AAB0AVDU01,,
B0051AAB0A,Terminal Recreio,51,0,B0051AAB0AIDU01,U,B0051AAB0AIDU01,,
B0025AABAA,Mato Alto,A25,1,B0025AABAAVDU01,U,B0025AABAAVDU01,,
B0025AABAA,Terminal Alvorada,A25,0,B0025AABAAIDU01,U,B0025AABAAIDU01,,
B0035AABAA,Terminal Madureira,A35,1,B0035AABAAVDU01,U,B0035AABAAVDU01,,
B0035AABAA,Jardim Oceânico,A35,0,B0035AABAAIDU01,U,B0035AABAAIDU01,,
B0042AABAA,Galeão,A42,1,B0042AABAAVDU01,U,B0042AABAAVDU01,,
B0042AABAA,Madureira Manaceia,A42,0,B0042AABAAIDU01,U,B0042AABAAIDU01,,
B0051AABAA,Vila Militar,A51,1,B0051AABAAVDU01,U,B0051AABAAVDU01,,
B0051AABAA,Terminal Alvorada,A51,0,B0051AABAAIDU01,U,B0051AABAAIDU01,,
B0053AAFAA,Sulacap,A53,1,B0053AAFAAVDU01,U,B0053AAFAAVDU01,,
B0053AAFAA,Terminal Alvorada,A53,0,B0053AAFAAIDU01,U,B0053AAFAAIDU01,,
B0015AAB0A,Recreio Shopping,15,0,B0015AAB0AIDU01,U,B0015AAB0AIDU01,,
B0015AAB0A,Pingo d'Água,15,1,B0015AAB0AVDU01,U,B0015AAB0AVDU01,,
B0053AABBA,Jardim Oceânico,B53,0,B0053AABBAIDU01,U,B0053AABBAIDU01,,
B0053AABBA,Sulacap,B53,1,B0053AABBAVDU01,U,B0053AABBAVDU01,,
B0014AAF0A,Salvador Allende,14,0,B0014AAF0AIDU01,U,B0014AAF0AIDU01,,
B0014AAF0A,Santa Eugênia (Paciência),14,1,B0014AAF0AVDU01,U,B0014AAF0AVDU01,,
B0017AAB0A,Campo Grande,17,0,B0017AAB0AIDU01,U,B0017AAB0AIDU01,,
B0017AAB0A,Santa Cruz,17,1,B0017AAB0AVDU01,U,B0017AAB0AVDU01,,
B0040AAF0A,Terminal Alvorada,40,0,B0040AAF0AIDU01,U,B0040AAF0AIDU01,,
B0040AAF0A,Madureira,40,1,B0040AAF0AVDU01,U,B0040AAF0AVDU01,,
