longitude,latitude,vei_nro_gestor,direcao,velocidade,inicio_viagem,linha,nomeLinha,nomeItinerario,comunicacao
-43.276848,-22.841428,12701,3,0,2022-08-04 05:21:17,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 09:46:45
-43.348673,-23.000077,47014,6,50,2022-08-04 09:19:02,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI IDA - 22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 09:46:46
-43.365185,-23.000942,47028,7,0,2022-08-04 08:45:24,25A,MATO ALTO X ALVORADA (PARADOR),ITI VOLTA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:47:04
-43.324608,-23.003145,47032,2,0,2022-08-04 08:49:31,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI IDA - 35B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:00
-43.68354,-22.917857,86878,7,0,2022-08-04 09:30:14,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 09:46:53
-43.396562,-23.000212,86875,5,32,2022-08-04 09:40:04,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:47:11
-43.361525,-22.915538,30531,4,33,2022-08-04 09:03:44,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI IDA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:10
-43.401247,-22.862085,13424,2,0,2022-08-04 09:44:18,51,VILA MILITAR X TERMINAL RECREIO (PARADOR),ITI IDA - 51 VILA MILITAR X TERMINAL RECREIO (PARADOR),2022-08-04 09:46:46
-43.312905,-23.006772,30514,2,27,2022-08-04 09:45:54,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI VOLTA -  22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 09:47:04
-43.516722,-23.016227,86861,2,60,2022-08-04 07:53:04,12,PINGO DAGUA X ALVORADA (EXPRESSO),ITI VOLTA - 12 PINGO D`AGUA X ALVORADA (EXPRESSO),2022-08-04 09:47:01
-43.55657,-23.00586,12729,2,59,2022-08-04 09:08:23,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 09:47:14
-43.339473,-22.879082,30536,1,0,2022-08-04 08:59:40,40A,ALVORADA X MADUREIRA (EXPRESSO),ITI VOLTA - 40A ALVORADA X MADUREIRA (EXPRESSO),2022-08-04 09:47:03
-43.549472,-23.007528,12730,2,59,2022-08-04 09:35:35,25A,MATO ALTO X ALVORADA (PARADOR),ITI VOLTA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:47:12
-43.388988,-22.959668,12728,6,0,2022-08-04 08:44:00,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI IDA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:05
-43.443395,-23.008432,27212,5,0,2022-08-04 09:21:44,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI VOLTA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 09:47:14
-43.598935,-22.991663,47029,1,0,2022-08-04 09:43:05,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:46:51
-43.523595,-23.015502,47001,5,47,2022-08-04 09:09:56,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 09:47:07
-43.44187,-23.008358,13408,3,0,2022-08-04 07:50:51,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:46:55
-43.351605,-22.897103,12734,3,0,2022-08-04 05:48:30,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 09:46:49
-43.401048,-22.972265,47002,3,15,2022-08-04 09:13:41,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI VOLTA - 53B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 09:46:55
-43.31272,-23.006248,86836,2,0,2022-08-04 08:49:52,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:02
-43.406003,-22.976252,30520,4,45,2022-08-04 09:19:45,51,VILA MILITAR X TERMINAL RECREIO (PARADOR),ITI IDA - 51 VILA MILITAR X TERMINAL RECREIO (PARADOR),2022-08-04 09:46:46
-43.41524,-22.98797,47022,4,53,2022-08-04 08:46:13,41,MADUREIRA X TERMINAL RECREIO (EXPRESSO),ITI VOLTA - 41 MADUREIRA X TERMINAL RECREIO (EXPRESSO),2022-08-04 09:46:57
-43.467972,-23.014565,86840,5,30,2022-08-04 09:19:47,25A,MATO ALTO X ALVORADA (PARADOR),ITI VOLTA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:46:58
-43.365062,-23.000665,30511,2,0,2022-08-04 05:42:36,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI IDA - 22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 09:47:13
-43.425908,-23.003652,86870,1,53,2022-08-04 09:19:18,13,MATO ALTO X ALVORADA (EXPRESSO),ITI IDA - 13 MATO ALTO X ALVORADA (EXPRESSO),2022-08-04 09:47:08
-43.40037,-22.883898,30525,0,37,2022-08-04 08:37:04,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI VOLTA - 53B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 09:46:48
-43.365417,-23.001093,12702,7,0,2022-08-04 09:21:34,46,PENHA X ALVORADA (EXPRESSO),ITI IDA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 09:47:14
-43.313463,-23.006768,30542,2,0,2022-08-04 08:30:38,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI IDA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:12
-43.332423,-22.863292,12706,5,21,2022-08-04 08:12:22,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 09:46:50
-43.37037,-22.921325,47017,4,0,2022-08-04 08:14:11,40A,ALVORADA X MADUREIRA (EXPRESSO),ITI VOLTA - 40A ALVORADA X MADUREIRA (EXPRESSO),2022-08-04 09:46:58
-43.684615,-22.916403,86874,3,8,2022-08-04 09:44:42,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 09:47:12
-43.364993,-23.000623,90001,3,0,2022-08-04 05:58:56,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:46:55
-43.340993,-23.000213,13422,2,29,2022-08-04 09:38:24,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI IDA - 22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 09:47:14
-43.341142,-22.878778,13421,4,24,2022-08-04 08:22:27,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:11
-43.391582,-22.948075,30533,3,0,2022-08-04 06:06:14,51,VILA MILITAR X TERMINAL RECREIO (PARADOR),ITI IDA - 51 VILA MILITAR X TERMINAL RECREIO (PARADOR),2022-08-04 09:46:52
-43.419828,-23.001678,12717,1,56,2022-08-04 08:28:10,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 09:46:46
-43.312133,-23.006543,90006,6,0,2022-08-04 09:22:15,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:46:55
-43.36534,-22.973413,13414,1,0,2022-08-04 09:12:49,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI VOLTA - 53B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 09:46:50
-43.400972,-22.887277,13407,4,47,2022-08-04 08:55:20,9999,LINHA TREINAMENTO BRT,Iti Default,2022-08-04 09:46:50
-43.336267,-22.877923,12726,6,0,2022-08-04 04:54:30,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI IDA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:46:54
-43.366738,-23.000873,30523,1,20,2022-08-04 09:41:47,12,PINGO DAGUA X ALVORADA (EXPRESSO),ITI VOLTA - 12 PINGO D`AGUA X ALVORADA (EXPRESSO),2022-08-04 09:46:49
-43.365333,-23.000658,13425,5,0,2022-08-04 06:15:41,40A,ALVORADA X MADUREIRA (EXPRESSO),ITI VOLTA - 40A ALVORADA X MADUREIRA (EXPRESSO),2022-08-04 09:46:49
-43.234385,-22.827843,12716,0,59,2022-08-04 09:01:41,42A,GALEAO X MADUREIRA (PARADOR),ITI VOLTA - 42A GALEAO X MADUREIRA (PARADOR),2022-08-04 09:46:52
-43.336198,-22.878775,90005,0,0,2022-08-04 09:07:57,41,MADUREIRA X TERMINAL RECREIO (EXPRESSO),ITI IDA - 41 MADUREIRA X TERMINAL RECREIO (EXPRESSO),2022-08-04 09:47:14
-43.497037,-23.02111,50302,5,37,2022-08-04 06:35:55,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 09:46:54
-43.389218,-22.959967,13402,5,0,2022-08-04 09:18:44,41,MADUREIRA X TERMINAL RECREIO (EXPRESSO),ITI IDA - 41 MADUREIRA X TERMINAL RECREIO (EXPRESSO),2022-08-04 09:47:06
-43.312365,-23.006257,47018,1,0,2022-08-04 09:45:06,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 09:47:06
